locationName,lat,lon,stationId,time,temp
龜山,25.030231,121.378336,C0C680,2021-03-31 15:00:00,22.5
西港,23.127417,120.195083,C0X140,2021-03-31 15:00:00,29.6
苓雅,22.624528,120.322583,C0V710,2021-03-31 15:00:00,29.1
北斗,23.879222,120.506528,C0G840,2021-03-31 15:00:00,28.9
關山,23.041300,121.166931,C0S890,2021-03-31 15:00:00,28.4
天祥,24.181389,121.487500,C0T820,2021-03-31 15:00:00,29.2
神岡,24.274222,120.650306,C0F9I0,2021-03-31 15:00:00,25.2
平鎮,24.899444,121.206389,C0C650,2021-03-31 15:00:00,21.8
舊泰武,22.589950,120.656922,C0R600,2021-03-31 15:00:00,24.3
清水林道,23.273047,121.180172,C0Z320,2021-03-31 15:00:00,29.3
復興,23.224167,120.797778,C0V210,2021-03-31 15:00:00,30.9
草嶺,23.597319,120.685342,C0K240,2021-03-31 15:00:00,24.1
東後寮,23.371644,120.239936,C0M520,2021-03-31 15:00:00,28.1
坪林,24.939975,121.701531,C0A530,2021-03-31 15:00:00,23.3
獅潭,24.541028,120.911972,C0E820,2021-03-31 15:00:00,22.6
大埤,23.647817,120.423400,C0K450,2021-03-31 15:00:00,29.0
高鐵彰化,23.877003,120.566469,C0G760,2021-03-31 15:00:00,28.2
水試所臺西,23.718408,120.183736,CM0120,2021-03-31 15:00:00,27.2
赤柯山,23.370733,121.374825,C0Z290,2021-03-31 15:00:00,24.0
南湖圈谷A,24.365503,121.436489,C0F0E0,2021-03-31 15:00:00,8.2
仁武,22.702861,120.339667,C0V680,2021-03-31 15:00:00,29.5
南仁湖,22.086486,120.855333,C0R760,2021-03-31 15:00:00,27.5
南屯,24.138861,120.630111,C0F9U0,2021-03-31 15:00:00,28.8
屈尺,24.923619,121.536533,C0AI10,2021-03-31 15:00:00,24.9
阿蓮,22.884944,120.319528,C0V530,2021-03-31 15:00:00,29.0
九棚,22.143756,120.886331,C0R790,2021-03-31 15:00:00,-99
新埤,22.469778,120.574833,C0R550,2021-03-31 15:00:00,30.3
后里,24.312111,120.721500,C0F9L0,2021-03-31 15:00:00,25.3
鼻頭角,25.130833,121.915278,C0A950,2021-03-31 15:00:00,16.9
烏日,24.108833,120.615917,C0F9S0,2021-03-31 15:00:00,28.8
達邦,23.455769,120.741403,C0M820,2021-03-31 15:00:00,25.7
芳苑,23.924000,120.311861,C0G870,2021-03-31 15:00:00,27.8
林邊,22.432667,120.502083,C0R530,2021-03-31 15:00:00,27.2
王爺宮,23.223828,120.392758,C0O840,2021-03-31 15:00:00,28.9
雙溪,25.037861,121.856056,C0A890,2021-03-31 15:00:00,22.0
瑞芳,25.114861,121.792639,C0A660,2021-03-31 15:00:00,21.0
加路蘭山,23.684706,121.519219,C0T9H0,2021-03-31 15:00:00,25.5
琉球嶼,22.334025,120.354194,C0R270,2021-03-31 15:00:00,29.0
新市,23.063556,120.290417,C0O980,2021-03-31 15:00:00,31.5
豐濱,23.585708,121.506678,C0T9I0,2021-03-31 15:00:00,25.4
橋頭,22.759583,120.297694,C0V760,2021-03-31 15:00:00,29.3
麟洛,22.652556,120.519139,C0R570,2021-03-31 15:00:00,31.1
善化,23.114444,120.289444,C0O900,2021-03-31 15:00:00,30.6
三芝,25.259639,121.493361,C0AD00,2021-03-31 15:00:00,22.1
三民,22.646917,120.303278,C0V700,2021-03-31 15:00:00,28.6
汐止,25.068667,121.650556,C0AH00,2021-03-31 15:00:00,23.1
佳里,23.175000,120.136667,C0X080,2021-03-31 15:00:00,30.5
花壇,24.032075,120.541314,C0G910,2021-03-31 15:00:00,27.4
梅峰,24.087056,121.165414,C0I480,2021-03-31 15:00:00,17.7
龍磐,21.933481,120.830933,C0R710,2021-03-31 15:00:00,29.2
大坪,25.167694,121.624750,C0A860,2021-03-31 15:00:00,20.9
羅東,24.683636,121.741144,C0U940,2021-03-31 15:00:00,26.6
加津林,22.418014,120.918900,C0S970,2021-03-31 15:00:00,27.3
月眉,22.972778,120.531778,C0V260,2021-03-31 15:00:00,34.0
昆陽,24.123139,121.265361,C0H990,2021-03-31 15:00:00,10.0
大安,24.347444,120.579972,C0F9K0,2021-03-31 15:00:00,24.6
福山植物園,24.762506,121.573147,C0AH90,2021-03-31 15:00:00,22.8
金寧,24.459339,118.320831,C0W150,2021-03-31 15:00:00,24.0
大肚,24.154667,120.564000,C0F000,2021-03-31 15:00:00,25.5
新美,23.339792,120.675231,C0M860,2021-03-31 15:00:00,29.5
北港,23.575803,120.283672,C0K410,2021-03-31 15:00:00,27.8
瑪家,22.684722,120.678889,C0R140,2021-03-31 15:00:00,27.4
六龜,22.999750,120.625528,C0V800,2021-03-31 15:00:00,31.6
長濱,23.288611,121.403889,C0S830,2021-03-31 15:00:00,27.1
金峰嘉蘭,22.596589,120.952772,C0S920,2021-03-31 15:00:00,27.1
湖內,22.888889,120.236444,C0V640,2021-03-31 15:00:00,28.1
深坑,25.004489,121.620106,C0AH80,2021-03-31 15:00:00,24.7
崙背,23.757500,120.310833,C0K250,2021-03-31 15:00:00,28.3
牡丹池山,22.170192,120.833200,C0R840,2021-03-31 15:00:00,27.7
名間,23.838817,120.693306,C0I410,2021-03-31 15:00:00,28.4
馬頭山,23.326389,120.573611,C0M410,2021-03-31 15:00:00,30.4
雪山東峰A,24.390581,121.263286,C0F9Z0,2021-03-31 15:00:00,12.2
埔心,23.948694,120.517611,C0G810,2021-03-31 15:00:00,28.2
玉蘭,24.677222,121.578889,C0U650,2021-03-31 15:00:00,24.0
新竹市東區,24.800436,120.978742,C0D660,2021-03-31 15:00:00,23.9
後龍,24.608056,120.775556,C0E540,2021-03-31 15:00:00,25.0
東引,26.360539,120.475308,C0W170,2021-03-31 15:00:00,15.8
吉安光華,23.932733,121.587003,C0Z150,2021-03-31 15:00:00,26.5
南田,22.291944,120.881944,C0S840,2021-03-31 15:00:00,29.7
神木村,23.534519,120.835553,C0H9A0,2021-03-31 15:00:00,21.5
東里,23.270336,121.297364,C0Z300,2021-03-31 15:00:00,31.0
二林,23.905067,120.367928,C0G730,2021-03-31 15:00:00,26.9
大寮,22.607389,120.387667,C0V730,2021-03-31 15:00:00,29.8
歷坵,22.522769,120.883803,C0SA00,2021-03-31 15:00:00,26.1
蘭嶼高中,22.050931,121.504119,C0S900,2021-03-31 15:00:00,29.2
桃園,24.994256,121.315044,C0C480,2021-03-31 15:00:00,23.7
林園,22.509583,120.386556,C0V720,2021-03-31 15:00:00,29.5
樟樹山,24.415731,121.775067,C0UA60,2021-03-31 15:00:00,23.5
社子,25.111389,121.461389,C0A980,2021-03-31 15:00:00,21.8
蔦松,23.516064,120.221625,C0K550,2021-03-31 15:00:00,27.5
貓鼻頭,21.923578,120.727792,C0R350,2021-03-31 15:00:00,29.1
水璉,23.798889,121.534167,C0T9F0,2021-03-31 15:00:00,27.2
關西,24.800111,121.165694,C0D390,2021-03-31 15:00:00,23.0
南庄,24.603167,120.992083,C0E430,2021-03-31 15:00:00,22.0
媽廟,22.993514,120.285431,C0O990,2021-03-31 15:00:00,30.5
元長,23.651544,120.306892,C0K500,2021-03-31 15:00:00,28.8
後壁,23.368094,120.354211,C0X260,2021-03-31 15:00:00,28.6
新莊,25.053250,121.438528,C0ACA0,2021-03-31 15:00:00,25.0
山上,23.077444,120.355194,C0X180,2021-03-31 15:00:00,30.5
大甲,24.349917,120.632361,C0F930,2021-03-31 15:00:00,26.0
廬山,24.035000,121.173333,C0I010,2021-03-31 15:00:00,24.9
赤山,22.594139,120.606250,C0R190,2021-03-31 15:00:00,30.6
竹南,24.710833,120.880833,C0E420,2021-03-31 15:00:00,23.5
烏坵,24.996081,119.441347,C0W160,2021-03-31 15:00:00,17.4
南投,23.913208,120.679183,C0I460,2021-03-31 15:00:00,28.9
內湖,25.081206,121.567222,C0A9F0,2021-03-31 15:00:00,24.4
中竹林,24.105556,120.743333,C0F9A0,2021-03-31 15:00:00,27.2
安南,23.078333,120.136667,C0O950,2021-03-31 15:00:00,28.4
民雄,23.553497,120.420331,C0M760,2021-03-31 15:00:00,29.2
松山,25.050492,121.542203,C0AH70,2021-03-31 15:00:00,25.8
甲仙,23.081667,120.582500,C0V250,2021-03-31 15:00:00,33.7
坪林石牌,24.866578,121.765750,C0U980,2021-03-31 15:00:00,21.7
池上,23.121389,121.201667,C0S740,2021-03-31 15:00:00,27.2
金山,25.225278,121.635556,C0A940,2021-03-31 15:00:00,19.4
富貴角,25.265556,121.557278,C0A920,2021-03-31 15:00:00,22.1
鯉魚潭,23.937444,121.500806,C0T870,2021-03-31 15:00:00,26.3
玉井,23.127833,120.452472,C0O930,2021-03-31 15:00:00,33.5
石牌,25.117336,121.504825,C0AI40,2021-03-31 15:00:00,24.8
烏石坑,24.275269,120.939447,C0FA00,2021-03-31 15:00:00,21.0
復興,24.822000,121.344094,C0C460,2021-03-31 15:00:00,22.0
大湖,24.416700,120.862694,C0E520,2021-03-31 15:00:00,24.9
和中,24.268567,121.732861,C0T9D0,2021-03-31 15:00:00,26.1
仁愛,24.023903,121.124056,C0I390,2021-03-31 15:00:00,27.0
基隆嶼,25.193200,121.775678,C0B020,2021-03-31 15:00:00,18.4
梨山,24.245000,121.237667,C0F860,2021-03-31 15:00:00,18.7
三星,24.669917,121.644819,C0U890,2021-03-31 15:00:00,25.6
埔鹽,24.002167,120.423583,C0G800,2021-03-31 15:00:00,27.0
東勢,24.248194,120.824917,C0F850,2021-03-31 15:00:00,25.9
林口,25.073953,121.372611,C0AH50,2021-03-31 15:00:00,23.2
鳳林,23.747917,121.445278,C0Z160,2021-03-31 15:00:00,27.3
佳冬,22.421194,120.544222,C0R540,2021-03-31 15:00:00,28.6
莿桐,23.762947,120.494247,C0K480,2021-03-31 15:00:00,27.5
埔里,23.973944,120.944278,C0H890,2021-03-31 15:00:00,29.8
大溪山,22.480000,120.935278,C0S770,2021-03-31 15:00:00,25.2
鹽水,23.274339,120.239506,C0X230,2021-03-31 15:00:00,27.6
七堵,25.096608,121.708897,C0B010,2021-03-31 15:00:00,21.6
九如,22.742278,120.482500,C0R490,2021-03-31 15:00:00,31.2
鳳山,22.648611,120.348056,C0V440,2021-03-31 15:00:00,31.1
瑞和,22.976119,121.148625,C0SA40,2021-03-31 15:00:00,28.4
德武,23.476069,121.402597,C0Z280,2021-03-31 15:00:00,26.8
舞鶴,23.469722,121.365833,C0Z070,2021-03-31 15:00:00,27.4
茂林蝶谷,22.890339,120.656039,CM0180,2021-03-31 15:00:00,32.1
富里,23.173442,121.241286,C0T9N0,2021-03-31 15:00:00,29.1
丹路,22.206281,120.742964,C0R800,2021-03-31 15:00:00,28.0
林內,23.750436,120.601508,C0K470,2021-03-31 15:00:00,27.6
旭海,22.207208,120.879586,C0R720,2021-03-31 15:00:00,28.4
彌陀,22.785583,120.238278,C0V650,2021-03-31 15:00:00,28.0
高士,22.123631,120.828758,C0R830,2021-03-31 15:00:00,27.3
合歡山,24.144778,121.264083,C0H9C0,2021-03-31 15:00:00,12.9
五結,24.688722,121.790222,C0U780,2021-03-31 15:00:00,26.8
東澳,24.523767,121.824986,C0U760,2021-03-31 15:00:00,25.6
北門,23.269517,120.117367,C0X290,2021-03-31 15:00:00,26.7
苑裡,24.441458,120.644883,C0E830,2021-03-31 15:00:00,24.4
虎尾,23.720939,120.433911,C0K330,2021-03-31 15:00:00,28.7
溪口,23.605872,120.395439,C0M660,2021-03-31 15:00:00,28.2
寶山,24.736722,121.016769,C0D580,2021-03-31 15:00:00,23.1
東港,22.464244,120.432703,C0R640,2021-03-31 15:00:00,28.0
西湖,24.564417,120.740278,C0E810,2021-03-31 15:00:00,24.2
埤頭,23.867806,120.444722,C0G830,2021-03-31 15:00:00,28.2
泰平,24.973056,121.815278,C0A550,2021-03-31 15:00:00,22.3
竹塘,23.848356,120.374339,C0G750,2021-03-31 15:00:00,27.4
蕃薯寮,23.740156,121.531975,C0Z270,2021-03-31 15:00:00,24.8
白嶺,24.529611,121.510844,C0UA30,2021-03-31 15:00:00,19.2
信義,23.691389,120.842778,C0I080,2021-03-31 15:00:00,28.1
土場,24.578356,121.487153,C0UA00,2021-03-31 15:00:00,28.6
土城,24.974944,121.436917,C0AD40,2021-03-31 15:00:00,24.9
線西,24.141081,120.435381,C0G900,2021-03-31 15:00:00,25.8
下馬,23.152222,121.062222,C0S660,2021-03-31 15:00:00,27.3
中埔,23.427144,120.514797,C0M640,2021-03-31 15:00:00,28.6
枋寮,22.369511,120.582611,C0R660,2021-03-31 15:00:00,28.1
鴛鴦湖,24.592053,121.404039,C0UA10,2021-03-31 15:00:00,18.1
大社,22.731944,120.338583,C0V770,2021-03-31 15:00:00,29.9
頭份,24.690000,120.904167,C0E730,2021-03-31 15:00:00,24.3
